Date,rahadi_oesman,sta2,sta3,sta4,sta5,sta6,sta7
25-Jun-05,9.2,0,0,0,0,0,0
26-Jun-05,32,0,0,0,0,0,0
27-Jun-05,2,0,0,0,0,0,0
28-Jun-05,8.2,0,0,0,0,7,0
29-Jun-05,0,0,0,0,0,0,0
30-Jun-05,0,0,0,0,0,0,0
01-Jul-05,0,0,0,0,0,0,0
02-Jul-05,0,0,0,0,0,0,0
03-Jul-05,0,0,0,0,0,0,0
04-Jul-05,0.1,0,0,0,0,0,0
05-Jul-05,0,0,0,0,0,0,0
06-Jul-05,0,0,0,0,0,0,0
07-Jul-05,0,0,0,0,0,0,0
08-Jul-05,0,0,0,0,0,0,0
09-Jul-05,0,0,0,0,0,0,0
10-Jul-05,32,0,0,0,0,0,0
11-Jul-05,0.7,0,0,0,0,0,0
12-Jul-05,0,0,0,0,0,0,0
13-Jul-05,0,0,0,0,0,0,0
14-Jul-05,121.5,0,0,0,0,0,0
15-Jul-05,15.6,0,0,0,0,0,0
16-Jul-05,17.3,0,0,0,0,0,0
17-Jul-05,25.2,0,0,0,0,0,0
18-Jul-05,0,0,0,0,0,0,0
19-Jul-05,2.7,0,0,0,0,0,0
20-Jul-05,0,0,0,0,0,0,0
21-Jul-05,0,0,0,0,0,0,0
22-Jul-05,0,0,0,0,0,0,0
23-Jul-05,0,0,0,0,0,0,0
24-Jul-05,0,0,0,0,0,0,0
25-Jul-05,0,0,0,0,0,0,0
26-Jul-05,0,0,0,0,0,0,0
27-Jul-05,0,0,0,0,0,0,0
28-Jul-05,0,0,0,0,0,0,0
29-Jul-05,0,0,0,0,0,0,0
30-Jul-05,0,0,0,0,0,0,0
31-Jul-05,70.8,0,0,0,0,0,0
01-Aug-05,0,0,0,0,0,0,0
02-Aug-05,0,0,0,0,0,0,0
03-Aug-05,0,0,0,0,6,0,0
04-Aug-05,0,0,0,0,0,0,0
05-Aug-05,0,0,0,0,0,0,0
06-Aug-05,0,0,0,0,0,0,0
07-Aug-05,0,0,0,0,0,0,0
08-Aug-05,0,0,0,0,0,0,0
09-Aug-05,0,0,0,0,0,0,0
10-Aug-05,0,0,0,0,0,0,0
11-Aug-05,0,0,0,0,0,0,0
12-Aug-05,0,0,5,23,25,12,0
13-Aug-05,0,0,0,0,0,0,0
14-Aug-05,-,0,7,0,0,0,12
15-Aug-05,0,0,0,0,0,0,0
16-Aug-05,0,0,0,0,0,0,13
17-Aug-05,11.2,0,0,0,0,0,0
18-Aug-05,1.6,0,0,0,0,0,0
19-Aug-05,0,0,0,0,0,0,0
20-Aug-05,1,0,0,0,0,0,0
21-Aug-05,2,0,0,0,0,0,0
22-Aug-05,0,0,0,0,0,0,0
23-Aug-05,0,0,0,0,0,0,0
24-Aug-05,0,0,0,0,0,0,0
25-Aug-05,0,0,0,0,0,0,0
26-Aug-05,0,0,0,0,0,0,10
27-Aug-05,0,0,0,0,0,0,11
28-Aug-05,0,0,0,0,0,0,0
29-Aug-05,0,3,0,0,0,0,0
30-Aug-05,0,3,0,0,0,0,9
31-Aug-05,0,0,0,5,0,0,5
01-Sep-05,0,0,0,0,0,11,28
02-Sep-05,4.1,0,0,0,0,0,0
03-Sep-05,0,0,0,0,0,0,0
