"","Date","rahadi_oesman","sta2","sta3","sta4","sta5","sta6","sta7"
"375",2005-01-09,14.8,0,0,"8",0,0,0
"376",2005-01-10,0,11,0,"0",0,0,0
"377",2005-01-11,0,0,0,"0",0,0,0
"378",2005-01-12,0,2,0,"0",0,0,0
"379",2005-01-13,5.7,3,0,"0",0,0,0
"380",2005-01-14,0,3,0,"0",0,7,22
"381",2005-01-15,0,0,0,"0",0,0,0
"382",2005-01-16,NA,0,8,"14",20,0,0
"383",2005-01-17,0,0,83,"18",58,17,0
"384",2005-01-18,15.8,0,0,"4",9,10,0
"385",2005-01-19,3.2,0,1,"13",0,19,27
"386",2005-01-20,0,0,3,"0",24,3,0
"387",2005-01-21,0,7,8,"0",15,14,5
"388",2005-01-22,0.8,0,10,"0",15,25,18
"389",2005-01-23,1.5,0,12,"18",1,26,2
"390",2005-01-24,0,0,4,"4",11,0,7
"391",2005-01-25,1,21,10,"41",1,15,7
"392",2005-01-26,0,15,17,"5",9,0,10
"393",2005-01-27,0,66,4,"47",0,8,5
"394",2005-01-28,0,32,4,"15",9,19,0
"395",2005-01-29,3.6,10,19,"109",4,26,26
"396",2005-01-30,0.3,6,7,"10",1,24,6
"397",2005-01-31,0,6,24,"9",12,6,5
"398",2005-02-01,0,3,12,"17",4,28,9
"399",2005-02-02,0,0,1,"0",0,0,2
"400",2005-02-03,0,2,1,"0",0,0,4
"401",2005-02-04,0,0,1,"3",2,3,0
"402",2005-02-05,0,0,2,"0",0,0,3
"403",2005-02-06,0,0,1,"0",2,0,0
"404",2005-02-07,0,0,2,"0",3,0,1
"405",2005-02-08,0,4,4,"3",0,1,4
"406",2005-02-09,0,1,2,"0",8,3,0
"407",2005-02-10,1.9,0,6,"4",2,7,2
"408",2005-02-11,10,5,1,"1",0,0,1
"409",2005-02-12,58.4,1,2,"0",0,0,1
"410",2005-02-13,2.3,1,2,"0",4,0,2
"411",2005-02-14,2.8,11,4,"7",4,3,5
"412",2005-02-15,17.9,5,3,"2",0,5,1
"413",2005-02-16,12.8,0,2,"0",2,2,0
"414",2005-02-17,0,0,3,"1",2,0,1
"415",2005-02-18,29.2,0,2,"1",0,0,6
